"Fayetteville,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Fe,","Commutair Aka Champlain Enterprises, Inc.,SkyWest Airlines Inc."
"Flagstaff,","Commutair Aka Champlain Enterprises, Inc.,SkyWest Airlines Inc."
"Flint,","Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express"
"Florence,",Capital Cargo International
"Forks,","Allegiant Air,SkyWest Airlines Inc.,Endeavor Air Inc."
Fort,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Francisco,","American Airlines Inc.,Horizon Air,JetBlue Airways,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc."
"Fresno,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Horizon Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc."
GA,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Gainesville,","Mesa Airlines Inc.,Capital Cargo International,Comair Inc.,Envoy Air,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
Garden,Envoy Air
"George,",SkyWest Airlines Inc.
"Gillette,",SkyWest Airlines Inc.
"Girardeau,",SkyWest Airlines Inc.
"Gorda,",Allegiant Air
Grand,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
Great,"Allegiant Air,Horizon Air,SkyWest Airlines Inc.,United Air Lines Inc."
Green,"Air Wisconsin Airlines Corp,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
Greensboro/High,"American Airlines Inc.,Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Greenville,",Capital Cargo International
